,Id,SalePrice,OverallQual,MasVnrArea,GarageArea,FullBath,TotRmsAbvGrd,YearBuilt,YearRemodAdd,BedroomAbvGr,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,HalfBath,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
22,23,230000,8,281,534,2,7,2002,2002,3,20,RL,75,9742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,1795,0,0,1795,0,0,0,1,Gd,Typ,1,Gd,Attchd,2002,RFn,2,TA,TA,Y,171,159,0,0,0,0,,,,0,9,2008,WD,Normal
23,24,129900,5,0,572,1,6,1976,1976,3,120,RM,44,4224,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,7,Gable,CompShg,CemntBd,CmentBd,None,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,1060,0,0,1060,1,0,0,1,TA,Typ,1,TA,Attchd,1976,Unf,2,TA,TA,Y,100,110,0,0,0,0,,,,0,6,2007,WD,Normal
24,25,154000,5,0,270,1,6,1968,2001,3,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,8,Gable,CompShg,Plywood,Plywood,None,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,1060,0,0,1060,1,0,0,1,Gd,Typ,1,TA,Attchd,1968,Unf,1,TA,TA,Y,406,90,0,0,0,0,,MnPrv,,0,5,2010,WD,Normal
25,26,256300,8,640,890,2,7,2007,2007,3,20,RL,110,14230,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,0,1,Gd,Typ,1,Gd,Attchd,2007,RFn,3,TA,TA,Y,0,56,0,0,0,0,,,,0,7,2009,WD,Normal
26,27,134800,5,0,576,1,5,1951,2000,3,20,RL,60,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,900,0,0,900,0,1,0,1,Gd,Typ,0,,Detchd,2005,Unf,2,TA,TA,Y,222,32,0,0,0,0,,,,0,5,2010,WD,Normal
27,28,306000,8,200,772,2,7,2007,2008,3,20,RL,98,11478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,1704,0,0,1704,1,0,0,1,Gd,Typ,1,Gd,Attchd,2008,RFn,3,TA,TA,Y,0,50,0,0,0,0,,,,0,5,2010,WD,Normal
28,29,207500,5,0,319,1,6,1957,1997,2,20,RL,47,16321,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,0,1,TA,Typ,2,Gd,Attchd,1957,RFn,1,TA,TA,Y,288,258,0,0,0,0,,,,0,12,2006,WD,Normal
29,30,68500,4,0,240,1,4,1927,1950,1,30,RM,60,6324,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,6,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,520,0,0,520,0,0,0,1,Fa,Typ,0,,Detchd,1920,Unf,1,Fa,TA,Y,49,0,87,0,0,0,,,,0,5,2008,WD,Normal
30,31,40000,4,0,250,1,6,1920,1950,3,70,C (all),50,8500,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,Gambrel,CompShg,BrkFace,BrkFace,None,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,649,668,0,1317,0,0,0,1,TA,Typ,0,,Detchd,1920,Unf,1,TA,Fa,N,0,54,172,0,0,0,,MnPrv,,0,7,2008,WD,Normal
31,32,149350,5,0,271,1,6,1966,2006,3,20,RL,,8544,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,1228,0,0,1228,0,0,1,1,Gd,Typ,0,,Attchd,1966,Unf,1,TA,TA,Y,0,65,0,0,0,0,,MnPrv,,0,6,2008,WD,Normal
32,33,179900,8,0,484,2,7,2007,2007,3,20,RL,85,11049,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,1234,0,0,1234,0,0,0,1,Gd,Typ,0,,Attchd,2007,RFn,2,TA,TA,Y,0,30,0,0,0,0,,,,0,1,2008,WD,Normal
33,34,165500,5,0,447,1,6,1959,1959,4,20,RL,70,10552,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Hip,CompShg,BrkFace,BrkFace,None,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,1700,0,0,1700,0,1,1,1,Gd,Typ,1,Gd,Attchd,1959,RFn,2,TA,TA,Y,0,38,0,0,0,0,,,,0,4,2010,WD,Normal
34,35,277500,9,246,556,2,6,2005,2005,2,120,RL,60,7313,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,1561,0,0,1561,1,0,0,1,Ex,Typ,1,Gd,Attchd,2005,Fin,2,TA,TA,Y,203,47,0,0,0,0,,,,0,8,2007,WD,Normal
35,36,309000,8,132,691,3,9,2004,2005,4,60,RL,108,13418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,5,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0,0,1,1,Gd,Typ,1,Gd,BuiltIn,2004,Fin,3,TA,TA,Y,113,32,0,0,0,0,,,,0,9,2006,WD,Normal
36,37,145000,5,0,672,1,6,1994,1995,3,20,RL,112,10859,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,1097,0,0,1097,0,0,1,1,TA,Typ,0,,Attchd,1995,Unf,2,TA,TA,Y,392,64,0,0,0,0,,,,0,6,2009,WD,Normal
37,38,153000,5,650,498,1,5,1954,1990,3,20,RL,74,8532,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,1297,0,0,1297,0,1,0,1,TA,Typ,1,TA,Attchd,1954,Fin,2,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD,Normal
38,39,109000,5,0,246,1,5,1953,2007,3,20,RL,68,7922,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,1057,0,0,1057,1,0,0,1,Gd,Typ,0,,Detchd,1953,Unf,1,TA,TA,Y,0,52,0,0,0,0,,,,0,1,2010,WD,Abnorml
39,40,82000,4,0,0,2,6,1955,1955,2,90,RL,65,6040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,Gable,CompShg,AsbShng,Plywood,None,TA,TA,PConc,,,,,0,,0,0,0,GasA,TA,N,FuseP,1152,0,0,1152,0,0,0,2,Fa,Typ,0,,,,,0,,,N,0,0,0,0,0,0,,,,0,6,2008,WD,AdjLand
40,41,160000,6,101,440,2,6,1965,1965,3,20,RL,84,8658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,1324,0,0,1324,0,0,0,1,TA,Typ,1,TA,Attchd,1965,RFn,2,TA,TA,Y,0,138,0,0,0,0,,GdWo,,0,12,2006,WD,Abnorml
41,42,170000,5,0,308,1,5,1959,1959,2,20,RL,115,16905,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,6,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,1328,0,0,1328,0,1,1,1,TA,Typ,2,Gd,Attchd,1959,RFn,1,TA,TA,P,0,104,0,0,0,0,,,,0,7,2007,WD,Normal
42,43,144000,5,0,504,1,5,1983,1983,2,85,RL,,9180,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,884,0,0,884,1,0,0,1,Gd,Typ,0,,Attchd,1983,RFn,2,TA,Gd,Y,240,0,0,0,0,0,,MnPrv,,0,12,2007,WD,Normal
43,44,130250,5,0,308,1,5,1975,1980,3,20,RL,,9200,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,Hip,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,938,0,0,938,1,0,0,1,TA,Typ,0,,Detchd,1977,Unf,1,TA,TA,Y,145,0,0,0,0,0,,MnPrv,,0,7,2008,WD,Normal
44,45,141000,5,0,300,1,6,1959,1959,3,20,RL,70,7945,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,1150,0,0,1150,1,0,0,1,TA,Typ,0,,Attchd,1959,RFn,1,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2006,WD,Normal
45,46,319900,9,412,576,2,6,2005,2005,2,120,RL,61,7658,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,5,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,1752,0,0,1752,1,0,0,1,Ex,Typ,1,Gd,Attchd,2005,RFn,2,TA,TA,Y,196,82,0,0,0,0,,,,0,2,2010,WD,Normal
46,47,239686,7,0,670,1,6,2003,2003,1,50,RL,48,12822,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,1518,631,0,2149,1,0,1,1,Gd,Typ,1,Ex,Attchd,2003,RFn,2,TA,TA,Y,168,43,0,0,198,0,,,,0,8,2009,WD,Abnorml
47,48,249700,8,0,826,2,7,2006,2006,3,20,FV,84,11096,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,5,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,1656,0,0,1656,0,0,0,1,Gd,Typ,0,,Attchd,2006,RFn,3,TA,TA,Y,0,146,0,0,0,0,,,,0,7,2007,WD,Normal
48,49,113000,4,0,0,2,8,1920,2008,2,190,RM,33,4456,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,5,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,736,716,0,1452,0,0,0,3,TA,Typ,0,,,,,0,,,N,0,0,102,0,0,0,,,,0,6,2009,New,Partial
49,50,127000,5,0,386,1,6,1966,1966,3,20,RL,66,7742,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,955,0,0,955,1,0,0,1,TA,Typ,0,,Attchd,1966,Unf,1,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,1,2007,WD,Normal
50,51,177000,6,0,388,2,6,1997,1997,3,60,RL,,13869,Pave,,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,794,676,0,1470,0,1,0,1,TA,Typ,0,,Attchd,1997,Fin,2,TA,TA,Y,0,75,0,0,0,0,,,,0,7,2007,WD,Normal
